station_id,elevation
377,44.0
378,56.0
380,81.0
381,14.0
382,70.0
383,69.0
384,41.0
385,15.0
387,21.0
388,37.0
389,34.0
390,23.0
391,64.0
392,8.0
393,97.0
394,95.0
396,29.0
397,117.0
398,47.0
399,52.0
400,33.0
401,25.0
402,113.0
403,48.0
404,30.0
405,56.0
406,56.0
407,82.0
408,34.0
409,97.0
410,46.0
411,88.0
412,18.0
413,63.0
414,16.0
415,85.0
416,83.0
417,56.0
418,26.0
420,91.0
421,38.0
423,25.0
424,37.0
425,76.0
426,47.0
427,54.0
428,29.0
429,12.0
430,22.0
431,61.0
432,60.0
433,63.0
434,80.0
435,36.0
436,52.0
437,24.0
438,103.0
439,38.0
440,14.0
441,6.0
442,22.0
443,8.0
444,36.0
445,10.0
446,61.0
447,32.0
448,26.0
449,28.0
450,46.0
451,69.0
452,6.0
453,56.0
454,51.0
455,25.0
456,0.0
457,46.0
458,67.0
459,63.0
460,24.0
461,50.0
462,62.0
463,20.0
464,5.0
465,9.0
466,100.0
468,22.0
469,47.0
470,79.0
471,65.0
472,82.0
473,61.0
474,97.0
475,11.0
476,33.0
478,17.0
479,8.0
480,13.0
481,21.0
482,118.0
483,19.0
484,12.0
485,31.0
486,81.0
487,56.0
488,82.0
489,24.0
491,14.0
493,32.0
495,14.0
496,89.0
497,38.0
498,101.0
499,46.0
500,15.0
501,84.0
502,81.0
503,46.0
505,68.0
506,33.0
507,27.0
508,52.0
509,22.0
511,36.0
512,69.0
513,103.0
514,40.0
516,42.0
518,63.0
519,43.0
521,24.0
522,12.0
523,10.0
524,68.0
525,68.0
526,34.0
527,21.0
529,55.0
530,34.0
531,63.0
532,94.0
533,35.0
534,8.0
535,44.0
537,27.0
540,82.0
541,3.0
542,19.0
543,89.0
545,21.0
547,17.0
548,46.0
549,31.0
550,61.0
551,26.0
552,6.0
554,127.0
555,66.0
556,61.0
558,9.0
559,14.0
560,111.0
561,81.0
562,32.0
563,33.0
564,47.0
565,63.0
567,107.0
568,44.0
569,19.0
570,65.0
571,18.0
572,8.0
573,17.0
574,10.0
575,104.0
576,21.0
577,17.0
578,52.0
579,56.0
580,93.0
581,43.0
582,83.0
583,37.0
584,68.0
585,19.0
586,62.0
587,51.0
588,46.0
589,15.0
590,52.0
591,85.0
592,95.0
593,97.0
594,73.0
595,19.0
596,81.0
597,22.0
598,37.0
599,8.0
600,17.0
601,131.0
602,35.0
603,43.0
607,65.0
608,63.0
609,17.0
610,59.0
611,21.0
612,73.0
613,46.0
614,107.0
615,23.0
616,8.0
617,46.0
618,98.0
619,98.0
620,46.0
621,93.0
622,48.0
623,25.0
624,48.0
625,19.0
626,13.0
627,8.0
735,15.0
737,18.0
738,33.0
739,29.0
744,66.0
746,19.0
748,29.0
787,21.0
970,23.0
1009,95.0
1023,29.0
1101,21.0
1755,5.0
1919,19.0
2270,101.0
2280,23.0
2304,55.0
2305,45.0
2306,108.0
2307,102.0
2308,22.0
2309,102.0
2315,5.0
2328,23.0
2329,27.0
2330,24.0
2332,19.0
2333,4.0
2334,19.0
2337,29.0
2339,10.0
2340,80.0
2347,15.0
2349,10.0
2350,91.0
2351,126.0
